package,license_url,spdx
github.com/cloudflare/cloudflared,https://github.com/cloudflare/cloudflared/blob/b4f47e2ab538ab6e31d3dc6adc5489455ad446de/LICENSE,Apache-2.0
github.com/BurntSushi/toml,https://github.com/cloudflare/cloudflared/blob/b4f47e2ab538ab6e31d3dc6adc5489455ad446de/vendor/github.com/BurntSushi/toml/COPYING,MIT
github.com/beorn7/perks/quantile,https://github.com/cloudflare/cloudflared/blob/b4f47e2ab538ab6e31d3dc6adc5489455ad446de/vendor/github.com/beorn7/perks/LICENSE,MIT
github.com/cespare/xxhash/v2,https://github.com/cloudflare/cloudflared/blob/b4f47e2ab538ab6e31d3dc6adc5489455ad446de/vendor/github.com/cespare/xxhash/v2/LICENSE.txt,MIT
github.com/cloudflare/backoff,https://github.com/cloudflare/cloudflared/blob/b4f47e2ab538ab6e31d3dc6adc5489455ad446de/vendor/github.com/cloudflare/backoff/LICENSE,BSD-2-Clause
github.com/coreos/go-oidc/v3/oidc,https://github.com/cloudflare/cloudflared/blob/b4f47e2ab538ab6e31d3dc6adc5489455ad446de/vendor/github.com/coreos/go-oidc/v3/LICENSE,Apache-2.0
github.com/coreos/go-systemd/v22/daemon,https://github.com/cloudflare/cloudflared/blob/b4f47e2ab538ab6e31d3dc6adc5489455ad446de/vendor/github.com/coreos/go-systemd/v22/LICENSE,Apache-2.0
github.com/cpuguy83/go-md2man/v2/md2man,https://github.com/cloudflare/cloudflared/blob/b4f47e2ab538ab6e31d3dc6adc5489455ad446de/vendor/github.com/cpuguy83/go-md2man/v2/LICENSE.md,MIT
github.com/facebookgo/grace,https://github.com/facebookarchive/grace/blob/75cf19382434e82df4dd84953f566b8ad23d6e9e/license,MIT
github.com/fsnotify/fsnotify,https://github.com/cloudflare/cloudflared/blob/b4f47e2ab538ab6e31d3dc6adc5489455ad446de/vendor/github.com/fsnotify/fsnotify/LICENSE,BSD-3-Clause
github.com/getsentry/sentry-go,https://github.com/cloudflare/cloudflared/blob/b4f47e2ab538ab6e31d3dc6adc5489455ad446de/vendor/github.com/getsentry/sentry-go/LICENSE,MIT
github.com/go-chi/chi/v5,https://github.com/cloudflare/cloudflared/blob/b4f47e2ab538ab6e31d3dc6adc5489455ad446de/vendor/github.com/go-chi/chi/v5/LICENSE,MIT
github.com/go-chi/cors,https://github.com/cloudflare/cloudflared/blob/b4f47e2ab538ab6e31d3dc6adc5489455ad446de/vendor/github.com/go-chi/cors/LICENSE,MIT
github.com/go-jose/go-jose/v4,https://github.com/cloudflare/cloudflared/blob/b4f47e2ab538ab6e31d3dc6adc5489455ad446de/vendor/github.com/go-jose/go-jose/v4/LICENSE,Apache-2.0
github.com/go-jose/go-jose/v4/json,https://github.com/cloudflare/cloudflared/blob/b4f47e2ab538ab6e31d3dc6adc5489455ad446de/vendor/github.com/go-jose/go-jose/v4/json/LICENSE,BSD-3-Clause
github.com/go-logr/logr,https://github.com/cloudflare/cloudflared/blob/b4f47e2ab538ab6e31d3dc6adc5489455ad446de/vendor/github.com/go-logr/logr/LICENSE,Apache-2.0
github.com/go-logr/stdr,https://github.com/cloudflare/cloudflared/blob/b4f47e2ab538ab6e31d3dc6adc5489455ad446de/vendor/github.com/go-logr/stdr/LICENSE,Apache-2.0
github.com/gobwas/httphead,https://github.com/cloudflare/cloudflared/blob/b4f47e2ab538ab6e31d3dc6adc5489455ad446de/vendor/github.com/gobwas/httphead/LICENSE,MIT
github.com/gobwas/pool,https://github.com/cloudflare/cloudflared/blob/b4f47e2ab538ab6e31d3dc6adc5489455ad446de/vendor/github.com/gobwas/pool/LICENSE,MIT
github.com/gobwas/ws,https://github.com/cloudflare/cloudflared/blob/b4f47e2ab538ab6e31d3dc6adc5489455ad446de/vendor/github.com/gobwas/ws/LICENSE,MIT
github.com/google/gopacket,https://github.com/cloudflare/cloudflared/blob/b4f47e2ab538ab6e31d3dc6adc5489455ad446de/vendor/github.com/google/gopacket/LICENSE,BSD-3-Clause
github.com/google/uuid,https://github.com/cloudflare/cloudflared/blob/b4f47e2ab538ab6e31d3dc6adc5489455ad446de/vendor/github.com/google/uuid/LICENSE,BSD-3-Clause
github.com/gorilla/websocket,https://github.com/cloudflare/cloudflared/blob/b4f47e2ab538ab6e31d3dc6adc5489455ad446de/vendor/github.com/gorilla/websocket/LICENSE,BSD-2-Clause
github.com/grpc-ecosystem/grpc-gateway/v2,https://github.com/cloudflare/cloudflared/blob/b4f47e2ab538ab6e31d3dc6adc5489455ad446de/vendor/github.com/grpc-ecosystem/grpc-gateway/v2/LICENSE,BSD-3-Clause
